Common Name,Scientific Name,Alternate Names,Species Group,Care Level,Average Adult Size,Maximum Adult Size,Lifespan,pH,Temperature,Hardness (GH),Swimming Level,Overall Aggressiveness,Aggressiveness Own Species,Aggressiveness Other Species,Ideal Number,M:F Ratio,Live Plants,Diet Type,Food Preferences,Substrate,Light,Water Current,Decorations,Minimum Tank Size
Flash Pleco,Panaque sp.,,Plecos,Moderate,5.0 inches / 127 mm,5.0 inches / 127 mm,8 - 12 years,6.5 - 8.4,79 - 86 F / 26 - 30 C,3 - 15 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, algae, veggies, wood",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Florida Gar,Lepisosteus platyrhincus,,Monster,Moderate,34.0 inches / 863 mm,52.0 inches / 1320 mm,10 - 30 years,6.5 - 7.8,68 - 84 F / 20 - 29 C,8 - 20 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,180 gallons / 681 liters
Featherfin Rainbowfish,Iriatherina werneri,Threadfin RainbowFish,Rainbowfish,Easy,1.5 inches / 38 mm,1.5 inches / 38 mm,3 - 5 years,5.0 - 8.0,72 - 86 F / 22 - 30 C,1 - 12 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Festivum,Mesonauta festivus,Flag Cichlid,American cichlids,Easy,4.0 inches / 101 mm,8.0 inches / 203 mm,10 years,5.5 - 7.5,72 - 82 F / 22 - 28 C,2 - 18 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,29 gallons / 109 liters
Figure Eight Puffer,Tetraodon biocellatus,,Puffer,Moderate,3.2 inches / 81 mm,3.2 inches / 81 mm,5 - 15 years,6.5 - 7.5,72 - 79 F / 22 - 26 C,5 - 12 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Sand,Low,Moderate,Moderate,20 gallons / 75 liters
Filament Barb,Puntius filamentosus,,Barbs,Easy,5.0 inches / 127 mm,6.0 inches / 152 mm,2 - 8 years,6.0 - 7.0,68 - 77 F / 20 - 25 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Finescale Tigerfish,Datnioides microlepis,"Indonesian Tigerfish,  Indonesian Tiger Perch",Datnoid,Moderate,18.0 inches / 457 mm,20.0 inches / 508 mm,10 - 15 years,6.5 - 7.5,68 - 82 F / 20 - 28 C,2 - 15 dGH,Mid,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Any,150 gallons / 567 liters
Finger Fish,Monodactylus argenteus,"Mono Argentus,  Mono Fish,  Moonfish",Brackish,Difficult,6.0 inches / 152 mm,10.0 inches / 254 mm,7 - 10 years,7.2 - 8.5,72 - 82 F / 22 - 28 C,8 - 15 dGH,Mid,Peaceful,Semi aggressive,Peaceful,5+,1:1,Yes,Omnivore,"Live, frozen, algae, veggies",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Fire Eel,Mastacembelus erythrotaenia,,Eels,Moderate,36.0 inches / 914 mm,36.0 inches / 914 mm,8 - 10 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,5 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,125 gallons / 473 liters
Fire Tetra,Hyphessobrycon flammeus,"Flame Tetra,  Von Rio Tetra",Tetras,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,3 - 5 years,5.5 - 7.5,68 - 77 F / 20 - 25 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
European Catfish,Silurus glanis,European Wels Catfish,Monster,Difficult,90.0 inches / 2286 mm,196.0 inches / 4978 mm,12 - 30 years,6.0 - 8.0,39 - 68 F / 4 - 20 C,3 - 25 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,1000 gallons / 3785 liters
Fahaka Puffer,Tetraodon lineatus,Nile Puffer,Puffer,Moderate,15.0 inches / 381 mm,17.0 inches / 431 mm,10 years,6.5 - 7.5,75 - 82 F / 24 - 28 C,5 - 15 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Sand,Moderate,Low,Moderate,125 gallons / 473 liters
Fairy Cichlid,Neolamprologus brichardi,Brichardi Cichlid,African cichlids,Moderate,3.5 inches / 88 mm,5.0 inches / 127 mm,8 - 10 years,8.0 - 9.0,72 - 81 F / 22 - 27 C,8 - 25 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,Any,1:2,Yes,Omnivore,"Live, frozen, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
False Firemouth,Amphilophus robertsoni,"Robertsons Cichlid,  Turquoise Cichlid",American cichlids,Moderate,7.0 inches / 177 mm,7.0 inches / 177 mm,9 years,7.2 - 8.0,73 - 81 F / 23 - 27 C,10 - 18 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
False Julii Cory,Corydoras trilineatus,Three Lined Cory,Cory,Easy,2.3 inches / 58 mm,2.3 inches / 58 mm,5 years,6.0 - 8.0,72 - 79 F / 22 - 26 C,4 - 18 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,10 gallons / 37 liters
Fancy Goldfish,Carassius auratus,,Goldfish,Easy,12.0 inches / 304 mm,12.0 inches / 304 mm,10 - 15 years,6.5 - 7.5,65 - 75 F / 18 - 24 C,4 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,29 gallons / 109 liters
Fantail Goldfish,Carassius auratus,,Goldfish,Easy,8.0 inches / 203 mm,8.0 inches / 203 mm,10 - 15 years,6.5 - 7.5,65 - 75 F / 18 - 24 C,4 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,29 gallons / 109 liters
Featherfin Catfish,Synodontis euptera,Synodontis eupterus,Synos,Moderate,8.0 inches / 203 mm,12.0 inches / 304 mm,10 - 25 years,6.0 - 7.5,72 - 81 F / 22 - 27 C,8 - 20 dGH,Bottom,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Sand,Low,Moderate,Moderate,40 gallons / 151 liters
Featherfin Cichlid,Cyathopharynx furcifer,,African cichlids,Moderate,8.0 inches / 203 mm,8.0 inches / 203 mm,5 years,8.0 - 9.0,75 - 81 F / 24 - 27 C,8 - 25 dGH,Top,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Flakes, pellets, veggies",Sand,Moderate,Moderate,Low,75 gallons / 283 liters
Elephantnose Fish,Gnathonemus petersii,,Misc,Moderate,9.0 inches / 228 mm,9.0 inches / 228 mm,10 years,6.0 - 7.5,73 - 82 F / 23 - 28 C,5 - 15 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,High,75 gallons / 283 liters
Ember Tetra,Hyphessobrycon amandae,,Tetras,Easy,0.8 inches / 20 mm,1.0 inches / 25 mm,2 - 4 years,5.0 - 7.0,68 - 82 F / 20 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,Flakes,Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Emerald Betta,Betta smaragdina,,Bettas,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,1 - 2 years,5.5 - 7.5,71 - 82 F / 22 - 28 C,1 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Low,Moderate,5 gallons / 18 liters
Emerald Eye Rasbora,Rasbora dorsiocellata,,Rasboras,Easy,1.0 inches / 25 mm,1.5 inches / 38 mm,3 - 5 years,5.0 - 7.5,68 - 77 F / 20 - 25 C,1 - 10 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Emerald Green Cory,Corydoras splendens,,Cory,Easy,3.0 inches / 76 mm,3.2 inches / 81 mm,13 years,5.0 - 8.0,68 - 82 F / 20 - 28 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Pellets, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Emperor Snakehead,Channa marulioides,,Snakehead,Moderate,25.0 inches / 635 mm,25.0 inches / 635 mm,8 - 12 years,6.0 - 8.0,72 - 82 F / 22 - 28 C,2 - 20 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Moderate,Moderate,250 gallons / 946 liters
Emperor Tetra,Nematobrycon palmeri,,Tetras,Easy,1.5 inches / 38 mm,2.0 inches / 50 mm,6 years,5.0 - 8.0,72 - 81 F / 22 - 27 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Empire Gudgeon,Hypseleotris compressa,,Misc,Moderate,4.5 inches / 114 mm,4.7 inches / 119 mm,5 - 8 years,5.0 - 9.1,68 - 86 F / 20 - 30 C,2 - 25 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Endler’s Livebearer,Poecilia wingei,Endler Guppy,Livebearer,Easy,1.0 inches / 25 mm,1.8 inches / 45 mm,2 - 3 years,7.0 - 8.5,75 - 86 F / 24 - 30 C,15 - 35 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, veggies, fry_food",Any,Moderate,Moderate,Moderate,5 gallons / 18 liters
Dwarf Rasbora,Boraras maculatus,"Pygmy Rasbora,  Spotted Rasbora",Rasboras,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,2 - 5 years,4.0 - 7.0,68 - 82 F / 20 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Sand,Low,Low,Moderate,10 gallons / 37 liters
Eastern Rainbowfish,Melanotaenia splendida,,Rainbowfish,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,5 years,5.0 - 8.0,68 - 86 F / 20 - 30 C,5 - 20 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Electric Blue Acara,Andinoacara pulcher,,American cichlids,Moderate,5.0 inches / 127 mm,6.0 inches / 152 mm,7 - 10 years,6.0 - 7.2,73 - 86 F / 23 - 30 C,5 - 25 dGH,Mid,Semi aggressive,Peaceful,Semi aggressive,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Electric Blue Hap,Sciaenochromis Fryeri,,African cichlids,Easy,8.0 inches / 203 mm,8.0 inches / 203 mm,7 - 10 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Semi aggressive,Semi aggressive,Semi aggressive,5,1:4,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Electric Blue Johannii,Melanochromis johanni,,African cichlids,Moderate,4.0 inches / 101 mm,4.8 inches / 121 mm,12 years,7.6 - 8.8,73 - 82 F / 23 - 28 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:2,Yes,Omnivore,"Flakes, pellets, veggies",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Dwarf Rainbowfish,Melanotaenia maccullochi,McCullochi Rainbowfish,Rainbowfish,Easy,2.5 inches / 63 mm,2.8 inches / 71 mm,3 - 5 years,5.5 - 8.0,68 - 86 F / 20 - 30 C,8 - 15 dGH,Top,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Dwarf Croaking Gourami,Trichopsis pumila,"Purring Gourami,  Sparkling Gourami",Gouramis,Moderate,1.5 inches / 38 mm,2.0 inches / 50 mm,5 years,5.0 - 7.5,72 - 82 F / 22 - 28 C,1 - 12 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Low,Moderate,10 gallons / 37 liters
Dwarf Flag Acara,Laetacara curviceps,Dwarf Flag Cichlid,American cichlids,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,2 - 4 years,4.5 - 7.5,68 - 82 F / 20 - 28 C,1 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Low,Moderate,10 gallons / 37 liters
Dwarf Gourami,Colisa lalia,,Gouramis,Easy,3.0 inches / 76 mm,3.0 inches / 76 mm,4 years,6.0 - 7.5,72 - 82 F / 22 - 28 C,2 - 18 dGH,Top,Peaceful,Semi aggressive,Peaceful,1,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Low,High,10 gallons / 37 liters
Dwarf Orange Crayfish,Cambarellus patzcuarensis,Mexican Dwarf Crayfish,Invertebrates,Easy,2.0 inches / 50 mm,2.0 inches / 50 mm,2 - 3 years,6.0 - 8.0,60 - 75 F / 16 - 24 C,3 - 25 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, veggies",Any,Moderate,Moderate,High,10 gallons / 37 liters
Dwarf Pencilfish,Nannostomus marginatus,,Misc,Moderate,1.0 inches / 25 mm,1.5 inches / 38 mm,2 - 5 years,4.0 - 7.0,72 - 81 F / 22 - 27 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Low,Moderate,10 gallons / 37 liters
Dwarf Petricola,Synodontis petricola,Dwarf Lake Syno,Synos,Moderate,4.5 inches / 114 mm,5.2 inches / 132 mm,5 - 8 years,7.5 - 8.5,75 - 82 F / 24 - 28 C,10 - 35 dGH,Bottom,Peaceful,Peaceful,Peaceful,4+,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Sand,Low,Moderate,Moderate,20 gallons / 75 liters
Dwarf Pike Cichlid,Crenicichla compressiceps,Green Dwarf Pike,American cichlids,Moderate,3.0 inches / 76 mm,3.0 inches / 76 mm,5 - 8 years,5.0 - 6.8,75 - 81 F / 24 - 27 C,2 - 8 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,High,29 gallons / 109 liters
Dwarf Puffer,Carinotetraodon travancoricus,"Dwarf Pufferfish,  Pea Puffer Fish,  Pygmy Pufferfish,  Dwarf Pea Puffer ,  Malabar Pufferfish",Puffer,Moderate,1.5 inches / 38 mm,1.5 inches / 38 mm,4 years,6.8 - 8.0,72 - 82 F / 22 - 28 C,5 - 25 dGH,Mid,Aggressive,Semi aggressive,Aggressive,4+,1:3,Yes,Carnivore,"Invertebrates, live, frozen",Any,Moderate,Low,High,10 gallons / 37 liters
Dogtooth Cichlid,Cynotilapia afra,Afra Cichlid,African cichlids,Moderate,4.0 inches / 101 mm,4.0 inches / 101 mm,7 - 10 years,7.5 - 8.5,77 - 84 F / 25 - 29 C,10 - 25 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:3,Yes,Omnivore,"Flakes, pellets, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Dojo Loach,Misgurnus anguillicaudatus,Weather Loach,Loaches,Moderate,6.0 inches / 152 mm,12.0 inches / 304 mm,7 - 10 years,6.5 - 8.0,50 - 82 F / 10 - 28 C,5 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,3+,1:1,Yes,Omnivore,"Pellets, live, frozen, algae",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Domino Syno,Synodontis notata,"Synodontis notatus,  One-spot Syno",Synos,Moderate,10.0 inches / 254 mm,11.0 inches / 279 mm,8 - 12 years,6.0 - 7.5,71 - 79 F / 22 - 26 C,5 - 20 dGH,Bottom,Semi aggressive,Aggressive,Semi aggressive,1,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Dourada,Brachyplatystoma rousseauxii,,Monster,Difficult,74.0 inches / 1879 mm,74.0 inches / 1879 mm,12 - 25 years,6.0 - 8.0,71 - 82 F / 22 - 28 C,1 - 20 dGH,Bottom,Aggressive,Aggressive,Aggressive,1,1:1,No,Carnivore,"Live, frozen",Any,Moderate,Strong,Low,1500 gallons / 5677 liters
Dragon Goby,Gobioides brousonnetti,Violet Goby,Misc,Moderate,15.0 inches / 381 mm,25.0 inches / 635 mm,10 years,7.5 - 9.0,73 - 79 F / 23 - 26 C,10 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,1,1:1,No,Omnivore,"Live, frozen, algae, veggies",Sand,Moderate,Moderate,Moderate,75 gallons / 283 liters
Dusky Millions Fish,Phalloceros caudimaculatus,,Misc,Moderate,2.5 inches / 63 mm,3.0 inches / 76 mm,3 - 5 years,7.0 - 8.0,64 - 72 F / 18 - 22 C,5 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Flakes, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Dwarf Chain Loach,Yasuhikotakia sidthimunki,Dwarf Loach,Loaches,Moderate,2.4 inches / 60 mm,2.4 inches / 60 mm,8 - 12 years,5.5 - 7.5,68 - 86 F / 20 - 30 C,1 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Sand,Low,Moderate,Moderate,20 gallons / 75 liters
Debauwi Catfish,Pareutropius buffei,Three Striped African Glass Catfish,Misc,Moderate,3.2 inches / 81 mm,3.5 inches / 88 mm,8 years,6.0 - 7.5,75 - 82 F / 24 - 28 C,5 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Carnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Deepwater Hap,Placidochromis electra,,African cichlids,Moderate,6.0 inches / 152 mm,8.0 inches / 203 mm,8 years,7.6 - 8.8,75 - 82 F / 24 - 28 C,10 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:2,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Moderate,Moderate,Moderate,55 gallons / 208 liters
Delhezi Bichir,Polypterus delhezi,Armoured Bichir,Bichir,Moderate,14.0 inches / 355 mm,14.0 inches / 355 mm,10 - 15 years,6.0 - 8.0,76 - 86 F / 24 - 30 C,5 - 25 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Delicate Blue Eye,Pseudomugil tenellus,,Rainbowfish,Easy,2.0 inches / 50 mm,2.2 inches / 55 mm,3 years,5.5 - 7.5,77 - 90 F / 25 - 32 C,5 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,8+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,10 gallons / 37 liters
Denison Barb,Puntius denisonii,"Red Lined Torpedo Barb,  Redline Barb,  Roseline Shark",Barbs,Easy,6.0 inches / 152 mm,6.0 inches / 152 mm,5 years,6.5 - 7.8,60 - 77 F / 16 - 25 C,5 - 25 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Diamond Tetra,Moenkhausia pittieri,,Tetras,Easy,2.4 inches / 60 mm,2.4 inches / 60 mm,3 - 6 years,5.5 - 7.5,72 - 82 F / 22 - 28 C,2 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,10 gallons / 37 liters
Discus,Symphysodon aequifasciatus,,Discus,Difficult,6.0 inches / 152 mm,8.0 inches / 203 mm,10 years,6.0 - 7.5,82 - 88 F / 28 - 31 C,5 - 15 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:1,Yes,Carnivore,"Live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Crescent Betta,Betta imbellis,,Bettas,Easy,2.5 inches / 63 mm,2.5 inches / 63 mm,4 years,5.0 - 7.5,68 - 82 F / 20 - 28 C,1 - 10 dGH,Mid,Peaceful,Peaceful,Peaceful,1,1:1,Yes,Carnivore,"Live, frozen",Any,Low,Low,Moderate,10 gallons / 37 liters
Crown Pearlscale Goldfish,Carassius auratus,,Goldfish,Easy,8.0 inches / 203 mm,8.0 inches / 203 mm,10 - 15 years,6.5 - 7.5,65 - 75 F / 18 - 24 C,4 - 20 dGH,Mid,Peaceful,Peaceful,Peaceful,Any,1:1,No,Omnivore,Goldfish,Gravel,Moderate,Moderate,Low,29 gallons / 109 liters
Crystal Red Shrimp,Caridina cantonensis sp. Crystal Red,,Invertebrates,Easy,1.0 inches / 25 mm,1.0 inches / 25 mm,1 - 2 years,5.8 - 7.4,62 - 76 F / 17 - 24 C,4 - 6 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Shrimp, algae, veggies",Any,Moderate,Moderate,High,5 gallons / 18 liters
Cuban Cichlid,Nandopsis tetracanthus,,American cichlids,Moderate,10.0 inches / 254 mm,12.0 inches / 304 mm,8 - 12 years,7.0 - 8.0,75 - 86 F / 24 - 30 C,5 - 15 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,55 gallons / 208 liters
Cuckoo Catfish,Synodontis multipunctatus,,Synos,Moderate,8.0 inches / 203 mm,10.0 inches / 254 mm,15 years,7.5 - 9.0,70 - 82 F / 21 - 28 C,8 - 20 dGH,Bottom,Peaceful,Semi aggressive,Peaceful,4+,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Sand,Low,Moderate,Moderate,40 gallons / 151 liters
Cupid Cichlid,Biotodoma cupido,Greenstreaked Eartheater,American cichlids,Moderate,4.0 inches / 101 mm,5.0 inches / 127 mm,3 - 5 years,5.0 - 7.0,68 - 86 F / 20 - 30 C,1 - 5 dGH,Mid,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Sand,Low,Moderate,Moderate,29 gallons / 109 liters
Daffodil Cichlid,Neolamprologus Pulcher,,African cichlids,Moderate,3.5 inches / 88 mm,5.0 inches / 127 mm,8 - 10 years,8.0 - 9.0,72 - 81 F / 22 - 27 C,8 - 25 dGH,Bottom,Aggressive,Semi aggressive,Aggressive,Any,1:2,Yes,Omnivore,"Live, frozen, veggies",Sand,Moderate,Moderate,Moderate,29 gallons / 109 liters
Common Pleco,Hypostomus plecostomus,Plecostomus (Common),Plecos,Easy,15.0 inches / 381 mm,24.0 inches / 609 mm,10 - 15 years,6.5 - 8.0,68 - 86 F / 20 - 30 C,1 - 25 dGH,Bottom,Peaceful,Aggressive,Peaceful,1,1:1,Yes,Omnivore,"Pellets, algae, veggies",Any,Moderate,Moderate,Moderate,125 gallons / 473 liters
Common Syno,Synodontis nigrita,"False Upside Down Catfish,  Lace Catfish",Synos,Moderate,7.0 inches / 177 mm,10.0 inches / 254 mm,5 - 8 years,6.0 - 7.8,70 - 82 F / 21 - 28 C,3 - 20 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,4+,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Sand,Low,Moderate,Moderate,55 gallons / 208 liters
Common Whiptail Catfish,Rineloricaria eigenmanni,,Misc catfish,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,5 - 8 years,6.0 - 7.4,75 - 84 F / 24 - 29 C,2 - 15 dGH,Bottom,Peaceful,Peaceful,Peaceful,Any,1:1,Yes,Omnivore,"Pellets, veggies, live, frozen",Any,Moderate,Moderate,Moderate,20 gallons / 75 liters
Compressed Cichlid,Altolamprologus compressiceps,"Compressiceps Cichlid,  Lamp Compressiceps,  Comps Cichlid",African cichlids,Moderate,4.0 inches / 101 mm,6.0 inches / 152 mm,3 - 5 years,7.8 - 9.0,76 - 82 F / 24 - 28 C,10 - 20 dGH,Mid,Aggressive,Semi aggressive,Aggressive,2,1:1,Yes,Carnivore,"Live, frozen",Sand,Moderate,Moderate,Moderate,40 gallons / 151 liters
Congo Bichir,Polypterus endlicheri congicus,,Bichir,Moderate,39.0 inches / 990 mm,39.0 inches / 990 mm,12 years,6.5 - 8.4,72 - 83 F / 22 - 28 C,5 - 20 dGH,Bottom,Semi aggressive,Semi aggressive,Semi aggressive,Any,1:1,Yes,Carnivore,"Pellets, live, frozen",Sand,Low,Moderate,Moderate,250 gallons / 946 liters
Congo Puffer,Tetraodon miurus,,Puffer,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,10 years,6.8 - 7.5,75 - 82 F / 24 - 28 C,10 - 15 dGH,Mid,Aggressive,Aggressive,Aggressive,1,1:1,Yes,Carnivore,"Invertebrates, live, frozen",Sand,Moderate,Moderate,Moderate,20 gallons / 75 liters
Congo Tetra,Phenacogrammus interruptus,,Tetras,Moderate,3.0 inches / 76 mm,3.5 inches / 88 mm,3 - 5 years,6.0 - 7.5,73 - 82 F / 23 - 28 C,3 - 18 dGH,Mid,Peaceful,Peaceful,Peaceful,6+,1:2,Yes,Carnivore,"Flakes, live, frozen",Any,Low,Moderate,Moderate,20 gallons / 75 liters
Convict Cichlid,Cryptoheros nigrofasciatus,,American cichlids,Moderate,6.0 inches / 152 mm,6.0 inches / 152 mm,8 - 10 years,6.0 - 8.0,75 - 82 F / 24 - 28 C,5 - 20 dGH,Mid,Aggressive,Semi aggressive,Aggressive,1,1:1,Yes,Omnivore,"Flakes, pellets, live, frozen",Any,Moderate,Moderate,Moderate,40 gallons / 151 liters
Clown Loach,Chromobotia macracanthus,Tiger Loach,Loaches,Moderate,12.0 inches / 304 mm,12.0 inches / 304 mm,20 years,5.0 - 7.5,75 - 86 F / 24 - 30 C,1 - 12 dGH,Bottom,Peaceful,Peaceful,Peaceful,5+,1:1,Yes,Omnivore,"Pellets, live, frozen, veggies",Sand,Low,Strong,High,75 gallons / 283 liters
